dataset,backbone,regime,predictor,n_true_events,n_pred_events,event_recall,complete_miss_rate,boundary_mismatch_rate,fragmented_rate,exact_boundary_rate,mean_best_iou_matched,mean_boundary_l1_h_matched,mean_duration_abs_error_h_matched,false_event_rate,point_recall,point_precision,mae_on_true_event_hours,spike_thr_train
UNIELEC_AT,GBDT,spike,bech,1063,613,0.48071495766698025,0.5192850423330198,0.33584195672624645,0.07055503292568203,0.07431796801505174,0.5001547243854457,7.430528375733855,7.2818003913894325,0.048939641109298535,0.3364886586890516,0.9312901631240732,53.8624600105767,75.01
UNIELEC_IE,Linear,negative,base,18,1,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,52.93506934478361,275.0
UNIELEC_IE,Linear,negative,bech,18,1,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,52.93506934478361,275.0
UNIELEC_IE,Linear,spike,base,18,0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,139.75281096527215,275.0
UNIELEC_IE,Linear,spike,bech,18,0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,139.75281096527215,275.0
UNIELEC_IE,GBDT,negative,base,18,0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,53.97831764108361,275.0
UNIELEC_IE,GBDT,negative,bech,18,0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,53.97831764108361,275.0
UNIELEC_IE,GBDT,spike,base,18,3,0.05555555555555558,0.9444444444444444,0.05555555555555555,0.0,0.0,0.5,1.0,1.0,0.6666666666666666,0.041666666666666664,0.25,138.0467029169352,275.0
UNIELEC_IE,GBDT,spike,bech,18,3,0.05555555555555558,0.9444444444444444,0.05555555555555555,0.0,0.0,0.5,1.0,1.0,0.6666666666666666,0.041666666666666664,0.25,138.0467029169352,275.0
UNIELEC_BE,Linear,negative,base,140,15,0.07857142857142863,0.9214285714285714,0.07142857142857142,0.0,0.007142857142857143,0.4772366522366523,4.0,4.0,0.26666666666666666,0.056818181818181816,0.813953488372093,45.064304777353456,112.95499999999956
UNIELEC_BE,Linear,negative,bech,140,15,0.07857142857142863,0.9214285714285714,0.07142857142857142,0.0,0.007142857142857143,0.4772366522366523,4.0,4.0,0.26666666666666666,0.056818181818181816,0.813953488372093,45.064304777353456,112.95499999999956
