cell,method,status,selected,n_hours,mae,smape_nofloor,rmse,rmae,neg_price_rate,neg_price_mae,high_tail_rate,high_tail_mae,host_mae,host_rmae,degradation,degradation_frac,delta_crps,a1_net,a2_net,note
LAGO_PJM:LSTM,B3_DeltaAdapter,OK,,10488,4.150408,15.228756,7.211176,0.146091,0.0057,16.257849,0.0501,14.988845,3.939917,0.138682,0.210491,0.053425,,,,
LAGO_PJM:LSTM,B4_PIR,OK,,10488,4.002681,14.58154,7.301872,0.140891,0.0057,14.78452,0.0501,14.987546,3.939917,0.138682,0.062764,0.01593,,,,
LAGO_PJM:LSTM,B5_HCH-Universal,OK,C3,10488,3.947255,14.479036,7.261682,0.13894,0.0057,13.153152,0.0501,14.865515,3.939917,0.138682,0.007338,0.001863,-0.012383,-0.007583318973070098,-5.059247282264682e-05,
LAGO_PJM:LSTM,B6_HCH-Local,OK,C0,10488,3.939917,14.484321,7.245994,0.138682,0.0057,13.153152,0.0501,14.881744,3.939917,0.138682,0.0,0.0,-0.01455,0.0,0.0,
LAGO_PJM:PatchTST,B0_Identity,OK,,10488,3.775302,14.424432,5.795317,0.132887,0.0057,14.810711,0.0501,11.717919,3.775302,0.132887,0.0,0.0,,,,
LAGO_PJM:PatchTST,B1_ResidualL1,OK,,10488,4.318642,16.426917,6.294621,0.152012,0.0057,15.182445,0.0501,13.25254,3.775302,0.132887,0.54334,0.143919,,,,
LAGO_PJM:PatchTST,B2_QuantileResidual,OK,,10488,4.28723,16.356804,6.224989,0.150907,0.0057,15.182445,0.0501,12.708656,3.775302,0.132887,0.511928,0.135599,,,,
LAGO_PJM:PatchTST,B3_DeltaAdapter,OK,,10488,4.025978,15.328369,6.043234,0.141711,0.0057,17.18843,0.0501,11.936263,3.775302,0.132887,0.250676,0.066399,,,,
LAGO_PJM:PatchTST,B4_PIR,OK,,10488,3.935595,14.806116,5.895394,0.13853,0.0057,15.23614,0.0501,11.056002,3.775302,0.132887,0.160293,0.042458,,,,
LAGO_PJM:PatchTST,B5_HCH-Universal,OK,C0,10488,3.924589,15.56262,6.000613,0.138142,0.0057,12.871847,0.0501,11.96297,3.775302,0.132887,0.149287,0.039543,-0.012565,-0.005579647686352514,-0.005579647686352514,
LAGO_PJM:PatchTST,B6_HCH-Local,OK,C0,10488,3.775302,14.424431,5.795316,0.132887,0.0057,14.810711,0.0501,11.71792,3.775302,0.132887,0.0,0.0,-0.012054,0.0,0.0,
LAGO_NP:Linear,B0_Identity,OK,,10488,2.63139,7.055348,4.759269,0.063376,0.0,,0.0502,7.754262,2.63139,0.063376,0.0,0.0,,,,
LAGO_NP:Linear,B1_ResidualL1,OK,,10488,3.339867,8.579059,5.182758,0.080439,0.0,,0.0502,9.226514,2.63139,0.063376,0.708476,0.26924,,,,
LAGO_NP:Linear,B2_QuantileResidual,OK,,10488,3.166232,8.20993,5.072783,0.076258,0.0,,0.0502,8.793555,2.63139,0.063376,0.534842,0.203254,,,,
LAGO_NP:Linear,B3_DeltaAdapter,OK,,10488,2.746096,7.290235,4.862833,0.066139,0.0,,0.0502,8.41008,2.63139,0.063376,0.114705,0.043591,,,,
LAGO_NP:Linear,B4_PIR,OK,,10488,2.703924,7.190028,4.839981,0.065123,0.0,,0.0502,8.121187,2.63139,0.063376,0.072534,0.027565,,,,
LAGO_NP:Linear,B5_HCH-Universal,OK,C3,10488,2.730052,7.215187,5.003728,0.065752,0.0,,0.0502,8.236357,2.63139,0.063376,0.098662,0.037494,-0.004075,-0.003348063659968738,-0.001289377130462085,
LAGO_NP:Linear,B6_HCH-Local,OK,C0,10488,2.63139,7.055347,4.759269,0.063376,0.0,,0.0502,7.754261,2.63139,0.063376,0.0,0.0,-0.005679,0.0,0.0,
LAGO_NP:MLP,B0_Identity,OK,,10488,3.848286,9.667485,5.625946,0.092685,0.0,,0.0502,8.356737,3.848286,0.092685,0.0,0.0,,,,
LAGO_NP:MLP,B1_ResidualL1,OK,,10488,5.408948,13.615889,7.153279,0.130273,0.0,,0.0502,10.182148,3.848286,0.092685,1.560662,0.405547,,,,
LAGO_NP:MLP,B2_QuantileResidual,OK,,10488,5.285099,13.327671,7.035078,0.12729,0.0,,0.0502,9.872725,3.848286,0.092685,1.436813,0.373364,,,,
LAGO_NP:MLP,B3_DeltaAdapter,OK,,10488,3.792675,9.511644,5.642635,0.091345,0.0,,0.0502,8.913896,3.848286,0.092685,-0.055611,-0.014451,,,,
LAGO_NP:MLP,B4_PIR,OK,,10488,3.75796,9.410006,5.537983,0.090509,0.0,,0.0502,8.423824,3.848286,0.092685,-0.090326,-0.023472,,,,
LAGO_NP:MLP,B5_HCH-Universal,OK,C0,10488,3.964716,10.068435,5.867748,0.095489,0.0,,0.0502,8.356736,3.848286,0.092685,0.11643,0.030255,-0.003818,-0.002631183544180737,-0.002631183544180737,
LAGO_NP:MLP,B6_HCH-Local,OK,C0,10488,3.848286,9.667485,5.625946,0.092685,0.0,,0.0502,8.356736,3.848286,0.092685,0.0,0.0,-0.006769,0.0,0.0,
LAGO_NP:LSTM,B0_Identity,OK,,10488,2.761872,7.227501,4.625325,0.066519,0.0,,0.0502,7.816717,2.761872,0.066519,0.0,0.0,,,,
LAGO_NP:LSTM,B1_ResidualL1,OK,,10488,3.542475,8.996985,5.178475,0.085319,0.0,,0.0502,9.294162,2.761872,0.066519,0.780602,0.282635,,,,
LAGO_NP:LSTM,B2_QuantileResidual,OK,,10488,3.490436,8.884803,5.138094,0.084066,0.0,,0.0502,9.225736,2.761872,0.066519,0.728564,0.263793,,,,
LAGO_NP:LSTM,B3_DeltaAdapter,OK,,10488,2.770559,7.23903,4.680703,0.066728,0.0,,0.0502,8.034107,2.761872,0.066519,0.008686,0.003145,,,,
LAGO_NP:LSTM,B4_PIR,OK,,10488,2.723185,7.136342,4.576299,0.065587,0.0,,0.0502,7.306812,2.761872,0.066519,-0.038687,-0.014008,,,,
LAGO_NP:LSTM,B5_HCH-Universal,OK,C3,10488,2.823703,7.372372,4.716832,0.068008,0.0,,0.0502,7.774698,2.761872,0.066519,0.06183,0.022387,-0.000357,-0.0027444007603817885,-0.0011254628871162633,
LAGO_NP:LSTM,B6_HCH-Local,OK,C0,10488,2.761872,7.227501,4.625325,0.066519,0.0,,0.0502,7.816717,2.761872,0.066519,0.0,0.0,-0.005,0.0,0.0,
