bin,n,yhat_lo,yhat_hi,pi_neg,pi_pos,m_neg,m_pos,M_neg,M_pos,mean_ci_lo,mean_ci_hi,dataset,backbone,evidence_status
8,1044,53.667361450195315,58.44413604736329,0.2471264367816092,0.7528735632183908,5.018916137458742,7.092935479627614,1.240306861555896,5.340083608225387,3.5478587652362292,4.679718471214631,LAGO_BE,MLP,COMPUTED
9,1044,58.44413604736329,96.32333374023438,0.21455938697318008,0.7854406130268199,6.6643608297620505,8.770707037390732,1.4299011742018193,6.88886951212682,4.712480834878271,6.207659699529826,LAGO_BE,MLP,COMPUTED
0,1045,5.672645568847656,26.398488998413086,0.7167464114832536,0.2832535885167464,7.605415546687168,5.83956553000403,5.451154300926975,1.6540778917523378,-4.7782128755415885,-2.7822047067161724,LAGO_BE,PatchTST,COMPUTED
1,1044,26.398488998413086,31.53485870361328,0.6695402298850575,0.33045977011494254,5.6813375639472055,4.989792493460835,3.803884058619824,1.6489256803103336,-2.7814554685648387,-1.5414120086408767,LAGO_BE,PatchTST,COMPUTED
2,1044,31.53485870361328,35.375722885131836,0.5229885057471264,0.47701149425287354,5.376610294803158,3.7902939961138498,2.8119053840637207,1.8080138027439627,-1.4476591942191195,-0.5243860465294179,LAGO_BE,PatchTST,COMPUTED
3,1045,35.375722885131836,39.40559310913086,0.5521531100478468,0.4478468899521531,5.763106354394447,4.913307956141284,3.1821170971154022,2.200409687535044,-1.4639264247469403,-0.4386024798656512,LAGO_BE,PatchTST,COMPUTED
4,1044,39.40559310913086,42.64938735961914,0.4396551724137931,0.5603448275862069,6.0897565106161275,4.708782919859275,2.6773929486329524,2.6385421533694213,-0.5718982119345583,0.5167850295470717,LAGO_BE,PatchTST,COMPUTED
5,1044,42.64938735961914,45.693108367919926,0.3936781609195402,0.6063218390804598,4.749776250834593,4.568571003315761,1.8698831792078714,2.7700243727000737,0.4687848641461667,1.3079861871573624,LAGO_BE,PatchTST,COMPUTED
6,1045,45.693108367919926,48.793765258789065,0.39712918660287083,0.6028708133971292,4.895378958460796,4.9308548881894065,1.9440978638863449,2.9726684971859583,0.5533515598942459,1.5108402171268611,LAGO_BE,PatchTST,COMPUTED
7,1044,48.793765258789065,52.55674438476562,0.3716475095785441,0.6283524904214559,4.576769848459775,5.38051546782982,1.700945116094246,3.3808602939620322,1.2520865958567402,2.1178363214488347,LAGO_BE,PatchTST,COMPUTED
8,1044,52.55674438476562,56.83324432373047,0.3045977011494253,0.6954022988505747,5.948410166134624,5.836248200787001,1.8118720620984776,4.05854041548981,1.608003090851848,2.8765043600542004,LAGO_BE,PatchTST,COMPUTED
9,1044,56.83324432373047,85.79959869384766,0.31896551724137934,0.6810344827586207,5.912287714961055,6.518069282027404,1.8858159090824056,4.439029942070387,1.9040534449054662,3.1791745433215817,LAGO_BE,PatchTST,COMPUTED
0,1045,-0.007221281994134188,26.980811691284178,0.7062200956937799,0.2937799043062201,7.351053041979534,6.060698339127077,5.191461382756838,1.7805113780976196,-4.350110404824084,-2.39079577824569,LAGO_BE,TCN,COMPUTED
1,1044,26.980811691284178,31.93991622924805,0.6120689655172413,0.3879310344827586,5.267846858184289,4.749964327871064,3.224285576992108,1.8426585754672231,-2.0043502764560057,-0.7323415878524381,LAGO_BE,TCN,COMPUTED
2,1044,31.93991622924805,36.01050567626953,0.4846743295019157,0.5153256704980843,5.661393678235442,4.1079125812062545,2.7439321850451472,2.116912805257629,-1.0952529159965918,-0.11960261755669933,LAGO_BE,TCN,COMPUTED
3,1045,36.01050567626953,39.84084854125977,0.49569377990430624,0.5043062200956938,5.710645417909364,4.819910281070948,2.8307314128966996,2.430710735047263,-0.9452885060722623,0.16799780674044787,LAGO_BE,TCN,COMPUTED
4,1044,39.84084854125977,43.61118507385254,0.40325670498084293,0.5967432950191571,5.586470950527599,4.8782866158033835,2.252781867980957,2.9110848291623643,0.18428575941665334,1.167349016156111,LAGO_BE,TCN,COMPUTED
